                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,       metrics/mAP50(B),   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
100,1.292,0.94952,1.091,1.526,1.1337,0.54278,0.66033,0.51845,0.54278,0.34087,1.3544,0.98205,1.1947,1.4853,1.1448,1.1686,0.006766,0.006766,0.006766
101,1.2748,0.93355,1.0758,1.5202,1.1017,0.55034,0.66012,0.51795,0.55034,0.34554,1.3498,0.97413,1.1891,1.4844,1.1218,1.167,0.006733,0.006733,0.006733
102,1.2954,0.95275,1.089,1.5344,1.1296,0.55675,0.70485,0.49825,0.55675,0.34829,1.3492,0.96371,1.1895,1.4851,1.1115,1.1693,0.0067,0.0067,0.0067
103,1.2737,0.93162,1.0749,1.5041,1.0992,0.55152,0.70031,0.50138,0.55152,0.34834,1.3444,0.96828,1.1872,1.478,1.1229,1.1649,0.006667,0.006667,0.006667
104,1.2676,0.94046,1.0756,1.5059,1.0878,0.54777,0.67869,0.52167,0.54777,0.3476,1.3379,0.96199,1.1833,1.4775,1.1079,1.1634,0.006634,0.006634,0.006634
105,1.2629,0.9224,1.0798,1.5004,1.097,0.54901,0.67765,0.51858,0.54901,0.34784,1.3396,0.96321,1.1844,1.4765,1.1155,1.1625,0.006601,0.006601,0.006601
106,1.2661,0.91348,1.0751,1.5051,1.0831,0.54695,0.69463,0.49891,0.54695,0.34483,1.3454,0.96969,1.1855,1.4809,1.1241,1.1622,0.006568,0.006568,0.006568
107,1.2756,0.90729,1.072,1.5268,1.0706,0.54837,0.61028,0.51897,0.54837,0.34681,1.3407,0.96268,1.1859,1.4791,1.1205,1.1667,0.006535,0.006535,0.006535
108,1.2628,0.93159,1.0843,1.5086,1.1104,0.54778,0.61602,0.51751,0.54778,0.34555,1.3401,0.96794,1.1833,1.4786,1.1158,1.1631,0.006502,0.006502,0.006502
109,1.2717,0.90483,1.077,1.5033,1.0691,0.54687,0.61287,0.51604,0.54687,0.34551,1.3402,0.96579,1.1808,1.4796,1.1247,1.163,0.006469,0.006469,0.006469
110,1.2679,0.91532,1.0827,1.5092,1.0942,0.55298,0.67566,0.51315,0.55298,0.34841,1.34,0.97439,1.1804,1.4799,1.1639,1.1627,0.006436,0.006436,0.006436
111,1.262,0.90895,1.0752,1.5028,1.0666,0.55729,0.67956,0.52237,0.55729,0.35005,1.3338,0.96001,1.179,1.4725,1.1309,1.1581,0.006403,0.006403,0.006403
112,1.2639,0.92551,1.0754,1.4935,1.0962,0.55803,0.61003,0.52763,0.55803,0.35209,1.3344,0.95999,1.1786,1.4734,1.1325,1.1582,0.00637,0.00637,0.00637
113,1.2538,0.90381,1.0679,1.5012,1.0849,0.55849,0.63253,0.51048,0.55849,0.35259,1.3378,0.961,1.1825,1.4771,1.1337,1.1618,0.006337,0.006337,0.006337
114,1.2629,0.89578,1.0739,1.497,1.0628,0.56071,0.68064,0.53006,0.56071,0.35541,1.3365,0.95915,1.1831,1.475,1.1359,1.161,0.006304,0.006304,0.006304
115,1.2509,0.88048,1.0647,1.4906,1.0398,0.5603,0.69735,0.51088,0.5603,0.3547,1.336,0.96473,1.1825,1.4749,1.145,1.1592,0.006271,0.006271,0.006271
116,1.2439,0.89279,1.0626,1.4857,1.0569,0.56277,0.62977,0.51471,0.56277,0.35556,1.3335,0.96166,1.1796,1.4729,1.1388,1.1577,0.006238,0.006238,0.006238
117,1.2327,0.88761,1.0697,1.4682,1.0511,0.56551,0.63268,0.52401,0.56551,0.35704,1.331,0.95268,1.1771,1.4738,1.1067,1.1567,0.006205,0.006205,0.006205
118,1.2517,0.90279,1.0709,1.4977,1.0699,0.568,0.62157,0.53176,0.568,0.3596,1.3322,0.9469,1.1783,1.4771,1.0887,1.1588,0.006172,0.006172,0.006172
119,1.2392,0.87867,1.0643,1.4838,1.0419,0.56392,0.60737,0.53607,0.56392,0.35901,1.3371,0.94754,1.1815,1.4788,1.0893,1.1603,0.006139,0.006139,0.006139
120,1.2778,0.90503,1.0749,1.5006,1.0569,0.56347,0.62755,0.53156,0.56347,0.3569,1.3393,0.94452,1.183,1.4792,1.0846,1.1618,0.006106,0.006106,0.006106
121,1.2441,0.87766,1.0586,1.4848,1.0335,0.56064,0.61582,0.52921,0.56064,0.35634,1.3395,0.94522,1.1836,1.4773,1.0891,1.1611,0.006073,0.006073,0.006073
122,1.2323,0.87401,1.0591,1.4774,1.0345,0.55469,0.63641,0.51186,0.55469,0.35289,1.3375,0.94341,1.1831,1.4763,1.0875,1.1608,0.00604,0.00604,0.00604
123,1.2299,0.88423,1.0606,1.4667,1.0442,0.56083,0.64246,0.51396,0.56083,0.35626,1.3346,0.94219,1.1799,1.474,1.0894,1.1591,0.006007,0.006007,0.006007
124,1.2416,0.88737,1.0582,1.4865,1.0474,0.56576,0.63597,0.52171,0.56576,0.35951,1.3308,0.93928,1.1777,1.4673,1.0881,1.1549,0.005974,0.005974,0.005974
125,1.2255,0.86696,1.056,1.4771,1.0211,0.56928,0.63197,0.52638,0.56928,0.36134,1.3288,0.93701,1.1766,1.4678,1.0867,1.1553,0.005941,0.005941,0.005941
126,1.2402,0.86307,1.0604,1.4825,1.019,0.57183,0.61572,0.53375,0.57183,0.3617,1.3299,0.93625,1.1775,1.4678,1.0858,1.1551,0.005908,0.005908,0.005908
127,1.2395,0.87622,1.064,1.483,1.0366,0.57219,0.70172,0.52731,0.57219,0.36118,1.3305,0.93694,1.1791,1.4687,1.0893,1.1568,0.005875,0.005875,0.005875
128,1.2295,0.87341,1.0538,1.4663,1.0132,0.56736,0.70267,0.52836,0.56736,0.35865,1.3301,0.93927,1.1791,1.4684,1.101,1.1568,0.005842,0.005842,0.005842
129,1.2198,0.86556,1.0615,1.4528,1.017,0.56858,0.7033,0.52827,0.56858,0.35941,1.3291,0.94003,1.1798,1.4669,1.1017,1.1569,0.005809,0.005809,0.005809
130,1.2094,0.86146,1.0434,1.4482,1.0135,0.56565,0.701,0.52895,0.56565,0.3605,1.3292,0.9404,1.1793,1.4663,1.1025,1.1555,0.005776,0.005776,0.005776
131,1.2318,0.8533,1.0452,1.4644,0.98808,0.56504,0.63145,0.5321,0.56504,0.36046,1.3295,0.94189,1.1787,1.4674,1.1113,1.1552,0.005743,0.005743,0.005743
132,1.2378,0.86751,1.058,1.4769,1.0173,0.56453,0.62693,0.53459,0.56453,0.35945,1.3304,0.94405,1.1784,1.4686,1.1196,1.1542,0.00571,0.00571,0.00571
133,1.2136,0.84395,1.0485,1.4602,0.99146,0.56427,0.62839,0.53616,0.56427,0.35845,1.3315,0.94413,1.178,1.4694,1.1275,1.154,0.005677,0.005677,0.005677
134,1.2001,0.84931,1.0469,1.4402,0.9936,0.56404,0.70562,0.53399,0.56404,0.3579,1.3306,0.94094,1.1765,1.4695,1.117,1.1524,0.005644,0.005644,0.005644
135,1.2251,0.86418,1.0582,1.47,1.0237,0.5677,0.64147,0.53423,0.5677,0.3614,1.3311,0.93749,1.1773,1.4699,1.1029,1.1523,0.005611,0.005611,0.005611
136,1.2108,0.85326,1.0515,1.4483,1.0088,0.56907,0.63913,0.53271,0.56907,0.36278,1.3315,0.93966,1.1779,1.4694,1.1066,1.1527,0.005578,0.005578,0.005578
137,1.2065,0.85096,1.0488,1.4403,1.0022,0.5706,0.63009,0.53592,0.5706,0.36294,1.3317,0.94284,1.1783,1.4703,1.1077,1.1536,0.005545,0.005545,0.005545
138,1.2133,0.84886,1.0487,1.4477,0.99029,0.57323,0.71057,0.53482,0.57323,0.36415,1.3308,0.94182,1.1786,1.4696,1.1094,1.1538,0.005512,0.005512,0.005512
139,1.2136,0.85804,1.0452,1.45,0.99567,0.57604,0.7248,0.53141,0.57604,0.36582,1.3307,0.9436,1.1789,1.4675,1.1153,1.1518,0.005479,0.005479,0.005479
140,1.1865,0.8422,1.0439,1.4219,0.97063,0.57749,0.64726,0.53413,0.57749,0.36687,1.3288,0.94214,1.1767,1.4663,1.1088,1.1505,0.005446,0.005446,0.005446
141,1.2121,0.83744,1.0444,1.4566,0.98133,0.57859,0.62963,0.54101,0.57859,0.36651,1.3274,0.94198,1.1753,1.4653,1.1083,1.1495,0.005413,0.005413,0.005413
142,1.2068,0.84793,1.0511,1.4578,1.0021,0.57748,0.64109,0.53238,0.57748,0.36701,1.3258,0.93907,1.1731,1.4652,1.1025,1.1496,0.00538,0.00538,0.00538
143,1.1992,0.81908,1.034,1.4419,0.9566,0.57695,0.6402,0.53334,0.57695,0.36677,1.3247,0.93742,1.1727,1.4649,1.1,1.1498,0.005347,0.005347,0.005347
144,1.1937,0.82397,1.0444,1.4397,0.96824,0.57923,0.64944,0.52894,0.57923,0.36801,1.3242,0.93573,1.1725,1.4651,1.0958,1.1506,0.005314,0.005314,0.005314
145,1.1939,0.83404,1.0418,1.436,0.97191,0.57721,0.64943,0.52943,0.57721,0.36828,1.325,0.93317,1.173,1.4651,1.0883,1.1516,0.005281,0.005281,0.005281
146,1.1977,0.83837,1.0411,1.4395,0.97518,0.57578,0.64457,0.53112,0.57578,0.36709,1.325,0.93217,1.1734,1.4641,1.0835,1.1517,0.005248,0.005248,0.005248
147,1.1839,0.81378,1.0361,1.4232,0.95341,0.57584,0.63519,0.53518,0.57584,0.3662,1.3239,0.93243,1.1728,1.4624,1.0853,1.1514,0.005215,0.005215,0.005215
148,1.2051,0.8411,1.0446,1.4497,0.97991,0.57605,0.64914,0.52715,0.57605,0.36713,1.323,0.93224,1.1725,1.4612,1.0845,1.1494,0.005182,0.005182,0.005182
149,1.1835,0.82828,1.0411,1.4207,0.9652,0.57545,0.63082,0.53755,0.57545,0.36603,1.3219,0.93197,1.1722,1.4605,1.0866,1.1494,0.005149,0.005149,0.005149
150,1.1751,0.80484,1.0309,1.4082,0.93298,0.5763,0.62442,0.54304,0.5763,0.36559,1.3212,0.93202,1.1715,1.4593,1.0893,1.149,0.005116,0.005116,0.005116
151,1.2007,0.8268,1.0406,1.4277,0.95512,0.57902,0.64699,0.53385,0.57902,0.36777,1.3217,0.93251,1.1718,1.4592,1.0938,1.1486,0.005083,0.005083,0.005083
152,1.1811,0.81109,1.0339,1.4194,0.94275,0.58047,0.65692,0.5281,0.58047,0.36833,1.3211,0.93233,1.1713,1.4588,1.0978,1.1489,0.00505,0.00505,0.00505
153,1.1787,0.81246,1.027,1.4211,0.94576,0.58266,0.62426,0.55401,0.58266,0.36893,1.322,0.93229,1.1716,1.4593,1.0994,1.1486,0.005017,0.005017,0.005017
154,1.186,0.81506,1.0377,1.4222,0.94391,0.58146,0.61881,0.56048,0.58146,0.36921,1.3224,0.9325,1.1706,1.4594,1.0996,1.1478,0.004984,0.004984,0.004984
155,1.1861,0.82154,1.0383,1.4252,0.9675,0.58152,0.61773,0.56094,0.58152,0.36915,1.3232,0.931,1.1711,1.4598,1.0948,1.148,0.004951,0.004951,0.004951
156,1.1679,0.79835,1.0284,1.4046,0.92978,0.58021,0.62435,0.55326,0.58021,0.36849,1.3234,0.93075,1.1716,1.4605,1.0938,1.1482,0.004918,0.004918,0.004918
157,1.1698,0.80734,1.0392,1.4095,0.94325,0.57938,0.64211,0.54593,0.57938,0.36795,1.3228,0.93008,1.1711,1.4605,1.0949,1.1483,0.004885,0.004885,0.004885
158,1.1809,0.81348,1.0304,1.4204,0.94947,0.58024,0.65033,0.54305,0.58024,0.3681,1.3223,0.92945,1.1714,1.4608,1.094,1.1489,0.004852,0.004852,0.004852
159,1.1868,0.80514,1.0324,1.4295,0.93459,0.57999,0.65574,0.54467,0.57999,0.36838,1.323,0.92807,1.1718,1.4617,1.0913,1.1501,0.004819,0.004819,0.004819
160,1.1833,0.81525,1.0326,1.4215,0.9581,0.5824,0.64832,0.54926,0.5824,0.36847,1.3235,0.92628,1.1722,1.4623,1.0901,1.1499,0.004786,0.004786,0.004786
161,1.1697,0.79852,1.0305,1.415,0.9303,0.58287,0.66246,0.54488,0.58287,0.36916,1.3236,0.9264,1.1725,1.4623,1.0927,1.1499,0.004753,0.004753,0.004753
162,1.1759,0.80276,1.0365,1.4127,0.9429,0.58161,0.65807,0.54394,0.58161,0.36872,1.3228,0.9256,1.172,1.462,1.0897,1.1505,0.00472,0.00472,0.00472
163,1.1693,0.80709,1.0309,1.4121,0.93886,0.58109,0.6623,0.54243,0.58109,0.36847,1.3228,0.9255,1.1719,1.4615,1.0897,1.1507,0.004687,0.004687,0.004687
164,1.161,0.79603,1.0243,1.3964,0.92035,0.58206,0.66275,0.54235,0.58206,0.36945,1.3234,0.92559,1.1724,1.4611,1.0925,1.1505,0.004654,0.004654,0.004654
165,1.1788,0.80909,1.0339,1.4159,0.933,0.58143,0.66069,0.54156,0.58143,0.36903,1.3233,0.92547,1.1722,1.4593,1.0964,1.1495,0.004621,0.004621,0.004621
166,1.1844,0.80912,1.0359,1.4163,0.94046,0.58064,0.65819,0.54271,0.58064,0.36878,1.323,0.9247,1.1716,1.4591,1.0946,1.1492,0.004588,0.004588,0.004588
167,1.1752,0.79958,1.0239,1.4211,0.93695,0.57944,0.64739,0.54405,0.57944,0.36845,1.3222,0.92331,1.1712,1.4578,1.093,1.1478,0.004555,0.004555,0.004555
168,1.1632,0.79586,1.0277,1.4032,0.92547,0.58059,0.63259,0.55269,0.58059,0.3694,1.3211,0.92265,1.1703,1.4573,1.0902,1.1476,0.004522,0.004522,0.004522
169,1.1611,0.79781,1.0273,1.413,0.93492,0.57934,0.64165,0.54684,0.57934,0.36865,1.3206,0.92286,1.1698,1.4579,1.0891,1.1472,0.004489,0.004489,0.004489
170,1.1644,0.79475,1.0154,1.4011,0.91246,0.57777,0.64453,0.54365,0.57777,0.36741,1.3204,0.92233,1.1696,1.457,1.0885,1.1466,0.004456,0.004456,0.004456
171,1.1641,0.79449,1.0239,1.4028,0.92091,0.57711,0.64364,0.54548,0.57711,0.36708,1.3201,0.92248,1.1692,1.4558,1.0906,1.1458,0.004423,0.004423,0.004423
172,1.1572,0.7935,1.025,1.3914,0.91496,0.57729,0.64002,0.54835,0.57729,0.36704,1.3197,0.92251,1.1686,1.456,1.091,1.1454,0.00439,0.00439,0.00439
173,1.1673,0.79894,1.0294,1.4023,0.93843,0.57715,0.63389,0.55294,0.57715,0.3672,1.3194,0.92192,1.1683,1.4566,1.0885,1.1454,0.004357,0.004357,0.004357
174,1.157,0.78787,1.0237,1.403,0.91484,0.57872,0.63825,0.55151,0.57872,0.36924,1.3192,0.92166,1.1682,1.456,1.0883,1.1449,0.004324,0.004324,0.004324
175,1.1581,0.79021,1.0205,1.3962,0.92502,0.57814,0.63593,0.55117,0.57814,0.36978,1.3189,0.92163,1.1679,1.4544,1.0909,1.1447,0.004291,0.004291,0.004291
176,1.166,0.80012,1.0202,1.4133,0.9208,0.57988,0.64166,0.55016,0.57988,0.36997,1.3185,0.92138,1.1676,1.4538,1.0916,1.1444,0.004258,0.004258,0.004258
177,1.1476,0.77012,1.0175,1.3825,0.89117,0.57986,0.64451,0.55127,0.57986,0.37034,1.3182,0.9211,1.1674,1.4537,1.093,1.1444,0.004225,0.004225,0.004225
178,1.1471,0.77769,1.0174,1.3854,0.89833,0.58117,0.64537,0.55148,0.58117,0.3711,1.3179,0.92059,1.1671,1.4533,1.0945,1.1442,0.004192,0.004192,0.004192
179,1.1401,0.77456,1.0202,1.3722,0.8992,0.5815,0.64359,0.55146,0.5815,0.37115,1.3175,0.92019,1.167,1.4533,1.0939,1.1441,0.004159,0.004159,0.004159
180,1.1445,0.78558,1.0185,1.3878,0.91018,0.58148,0.64104,0.55509,0.58148,0.37153,1.3173,0.92016,1.1668,1.4526,1.0948,1.1428,0.004126,0.004126,0.004126
181,1.1381,0.76719,1.0164,1.378,0.88724,0.58204,0.64283,0.55407,0.58204,0.37212,1.3178,0.92069,1.1671,1.4535,1.0955,1.1428,0.004093,0.004093,0.004093
182,1.1608,0.77329,1.0165,1.392,0.89284,0.58364,0.63808,0.55858,0.58364,0.3737,1.3173,0.92072,1.1667,1.4538,1.094,1.143,0.00406,0.00406,0.00406
183,1.1533,0.77725,1.0182,1.3933,0.90049,0.58434,0.64253,0.55794,0.58434,0.37463,1.3172,0.92093,1.1665,1.4533,1.0942,1.1426,0.004027,0.004027,0.004027
184,1.1364,0.76245,1.0124,1.3793,0.88115,0.5852,0.63732,0.56047,0.5852,0.37519,1.3168,0.92064,1.1663,1.4533,1.0924,1.1429,0.003994,0.003994,0.003994
185,1.142,0.763,1.0184,1.3714,0.88077,0.58505,0.64203,0.55876,0.58505,0.37518,1.3165,0.92106,1.166,1.453,1.0941,1.1429,0.003961,0.003961,0.003961
186,1.141,0.77047,1.019,1.37,0.89122,0.58562,0.63278,0.55917,0.58562,0.37575,1.3163,0.92126,1.1658,1.4527,1.0956,1.1427,0.003928,0.003928,0.003928
187,1.141,0.77369,1.0186,1.3848,0.90257,0.58536,0.63624,0.55707,0.58536,0.37548,1.3161,0.922,1.1655,1.4528,1.0973,1.1428,0.003895,0.003895,0.003895
188,1.1326,0.75711,1.0124,1.3788,0.8831,0.58521,0.6371,0.56117,0.58521,0.37541,1.3159,0.92178,1.1653,1.4527,1.0975,1.1426,0.003862,0.003862,0.003862
189,1.1344,0.76678,1.0177,1.372,0.88462,0.58614,0.63956,0.56154,0.58614,0.3759,1.3159,0.92143,1.1655,1.4526,1.0982,1.1427,0.003829,0.003829,0.003829
190,1.1258,0.7564,1.014,1.3563,0.86605,0.58691,0.63865,0.56253,0.58691,0.37655,1.3158,0.92144,1.1653,1.4527,1.0979,1.143,0.003796,0.003796,0.003796
191,1.1381,0.77906,1.0202,1.3873,0.90847,0.58799,0.64087,0.5625,0.58799,0.37727,1.3158,0.9217,1.1655,1.4527,1.0971,1.143,0.003763,0.003763,0.003763
192,1.1412,0.78284,1.0175,1.3801,0.91702,0.58895,0.64606,0.5645,0.58895,0.37739,1.3161,0.92178,1.1655,1.4527,1.0981,1.1428,0.00373,0.00373,0.00373
193,1.1223,0.75951,1.0069,1.3614,0.8759,0.58958,0.64545,0.56602,0.58958,0.37741,1.3159,0.9221,1.1654,1.4529,1.0989,1.1428,0.003697,0.003697,0.003697
194,1.1174,0.75049,1.0104,1.3512,0.86162,0.59058,0.64709,0.56492,0.59058,0.37777,1.316,0.92204,1.1654,1.4531,1.0981,1.143,0.003664,0.003664,0.003664
195,1.1352,0.75631,1.0184,1.3714,0.87367,0.59065,0.64619,0.56754,0.59065,0.37754,1.316,0.92213,1.1654,1.4534,1.0984,1.1433,0.003631,0.003631,0.003631
196,1.1401,0.76575,1.0135,1.3845,0.88162,0.59104,0.64427,0.56637,0.59104,0.3774,1.3163,0.92205,1.1655,1.4535,1.099,1.1433,0.003598,0.003598,0.003598
197,1.1315,0.75968,1.0109,1.3657,0.8675,0.5912,0.64307,0.56541,0.5912,0.37754,1.3163,0.92232,1.1657,1.4536,1.1001,1.1435,0.003565,0.003565,0.003565
198,1.1173,0.74713,1.0069,1.3621,0.86518,0.5911,0.64275,0.56378,0.5911,0.37749,1.3165,0.92236,1.1659,1.4539,1.1,1.1438,0.003532,0.003532,0.003532
199,1.1176,0.74111,1.0017,1.36,0.85479,0.59046,0.64365,0.56289,0.59046,0.37708,1.3164,0.92217,1.1658,1.4539,1.0997,1.1439,0.003499,0.003499,0.003499
200,1.121,0.74366,1.0025,1.3594,0.85249,0.59018,0.63734,0.56562,0.59018,0.37694,1.3164,0.9219,1.1657,1.4538,1.0988,1.1438,0.003466,0.003466,0.003466
